VF,giff,num_vehicles,alpha,beta,delta,alpha_d,Fairness Type (GIFF),SR,Metric (P),Metric (D),pair SR mean,pair SR min,source SR mean,source SR min,driver mean,driver min
pathnn,TRUE,1000,0.1,0.999,0,0,variance,0.551505744,-0.020262033,-22.699216,0.619725006,0.29728697,0.611770003,0.386068206,35.528,21
pathnn,TRUE,1000,0.1,0.9995,0,0,variance,0.531620615,-0.023934281,-24.759991,0.615658582,0.254680932,0.592908555,0.349288882,34.247,20
pathnn,TRUE,1000,0.1,1,0,0,variance,0.485206458,-0.030853136,-19.838951,0.60700349,0.261941154,0.551310976,0.34087781,31.257,16
pathnn,TRUE,1000,0.1,0.9999,0,0,variance,0.520009314,-0.026455069,-22.939999,0.601925553,0.260221628,0.567275811,0.347453739,33.499,17
pathnn,TRUE,1000,0.1,0.99995,0,0,variance,0.530502949,-0.025157636,-23.334375,0.608928005,0.262705388,0.578400453,0.350894632,34.175,16
pathnn,TRUE,1000,0.1,0.999995,0,0,variance,0.570552623,-0.023670473,-27.138975,0.59312489,0.268437142,0.574489995,0.350818168,36.755,20
pathnn,TRUE,1000,0.1,0.99999,0,0,variance,0.532800373,-0.025726088,-26.808671,0.602518314,0.251815055,0.570338537,0.333766631,34.323,20
pathnn,TRUE,1000,0,0.99995,0,0,variance,0.813784539,-0.025943187,-27.722224,0.652863246,0.239583333,0.746923654,0.60154603,52.424,37
pathnn,TRUE,1000,0,0.99999,0,0,variance,0.801226327,-0.016592757,-30.342775,0.682072202,0.375,0.744160463,0.593815882,51.615,33
pathnn,TRUE,1000,0,0.9999,0,0,variance,0.815212667,-0.03337164,-24.437744,0.627966208,0.205729167,0.743637726,0.603654252,52.516,34
pathnn,TRUE,1000,0,0.999995,0,0,variance,0.789133809,-0.014733217,-31.105104,0.677698805,0.375,0.732807449,0.576247365,50.836,34
pathnn,TRUE,1000,0,0.9999995,0,0,variance,0.702437131,-0.008568441,-33.793999,0.671135559,0.375,0.679038423,0.614898103,45.251,27
pathnn,TRUE,1000,0,0.999999,0,0,variance,0.723253648,-0.010403709,-33.289536,0.652128284,0.285714286,0.675619032,0.573436402,46.592,29
pathnn,True,1000,0.0,0.999995,0.0,1.0,variance,0.8154920832039739,-0.012032433687542742,-32.956844,0.7109957296010188,0.42857142857142855,0.7774516192001215,0.6366830639494027,52.534,29.0
